"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,1,1,1,0,0.3972,1833.7,-874.1424,25.814,0.505,26.577
0,1,10,1,0,0.3886,1746.3,-868.2567,25.077,0.373,25.753
0,1,100,1,0,0.3864,1743.6,-866.9217,25.588,0.503,26.166
0,1,1000,1,0,0.3847,1751.6,-871.0028,25.936,0.479,26.48
0,1,10000,1,0,0.3902,1753.4,-871.9923,25.462,0.455,26.191
0,1,1,0.1,0,0.1782,1451.3,-511.7189,24.582,0.386,25.234
0,1,10,0.1,0,0.1694,1442.4,-513.2558,25.51,0.391,26.011
0,1,100,0.1,0,0.1694,1449.7,-513.2866,25.893,0.439,26.385
0,1,1000,0.1,0,0.1676,1439.4,-507.126,17.466,0.407,18.018
0,1,10000,0.1,0,0.1724,1448.9,-513.2951,17.152,0.335,17.617
0,1,1,0.01,0.0019,0.0288,422.7,-126.7004,6.959,0.203,7.17
0,1,10,0.01,0,0.0274,412,-157.2442,6.821,0.163,6.995
0,1,100,0.01,0,0.0285,407.8,-174.9487,6.658,0.18,6.894
0,1,1000,0.01,0,0.0268,399.7,-180.6761,6.623,0.145,6.781
0,1,10000,0.01,0,0.0279,407,-161.1608,6.701,0.203,6.908
0,1,1,0.001,0.007,0.0122,264.3,-133.2971,5.016,0.181,5.237
0,1,10,0.001,0.0024,0.0115,151.6,-405.3659,3.234,0.136,3.404
0,1,100,0.001,4e-04,0.0108,105.4,-769.9185,2.805,0.085,2.919
0,1,1000,0.001,1e-04,0.0128,95.6,-1712.3558,2.725,0.075,2.804
0,1,10000,0.001,0,0.013,103.4,-1016.2066,2.82,0.085,2.912
0,1,1,1e-04,0.0118,0.0136,655.2,-408.8188,7.534,0.201,7.744
0,1,10,1e-04,0.0077,0.0109,210.3,-1203.6674,4.231,0.112,4.347
0,1,100,1e-04,0.0028,0.0098,104.3,-3867.8361,2.627,0.064,2.73
0,1,1000,1e-04,7e-04,0.0121,67.8,-10193.4852,2.243,0.06,2.297
0,1,10000,1e-04,0,0.0122,60.7,-15652.7841,2.144,0.062,2.23
0,2,1,1,0.0032,0.4272,1930.5,-941.7885,26.95,0.583,27.934
0,2,10,1,0.0032,0.4176,1886.9,-1058.313,26.429,0.486,27.306
0,2,100,1,0.0037,0.4194,1890.8,-2411.2845,27.426,0.507,28.173
0,2,1000,1,0.0034,0.42,1890.6,-14731.6265,27.535,0.492,28.077
0,2,10000,1,0.0034,0.4214,1889.5,-138931.2906,26.628,0.599,27.605
0,2,1,0.1,0.0135,0.2847,1711.9,-762.5745,25.609,0.471,26.432
0,2,10,0.1,0.0049,0.2807,1704.7,-1059.5201,27.277,0.515,27.857
0,2,100,0.1,0.0037,0.2768,1705.3,-2359.2979,26.791,0.49,27.364
0,2,1000,0.1,0.0039,0.2766,1704.2,-16474.3636,26.067,0.546,27.237
0,2,10000,0.1,0.0034,0.2805,1706.1,-138857.6154,25.978,0.48,27.035
0,2,1,0.01,0.077,0.191,1226.2,-737.6181,17.888,0.393,18.368
0,2,10,0.01,0.0362,0.1952,1155.3,-3033.1072,17.237,0.383,17.957
0,2,100,0.01,0.0132,0.2117,1089.6,-11374.314,21.966,0.357,22.545
0,2,1000,0.01,0.0048,0.2228,1006.8,-39898.5239,20.819,0.316,21.524
0,2,10000,0.01,0.004,0.234,995.9,-186710.2818,21.275,0.348,21.676
0,2,1,0.001,0.1315,0.171,1270.9,-979.9976,18.761,0.363,19.174
0,2,10,0.001,0.1048,0.1648,922,-6212.8037,13.682,0.235,14.206
0,2,100,0.001,0.0688,0.1662,820.9,-41898.634,13.307,0.176,13.518
0,2,1000,0.001,0.0333,0.1692,766.4,-235525.0728,14.751,0.172,15.142
0,2,10000,0.001,0.0156,0.2058,702.7,-1176004.9364,17.788,0.151,18.205
0,2,1,1e-04,0.1946,0.2476,1894.7,-1559.0651,19.448,0.367,19.841
0,2,10,1e-04,0.139,0.1675,1193.9,-9427.2386,15.611,0.242,15.889
0,2,100,1e-04,0.115,0.1598,815.3,-64194.2188,11.41,0.181,11.686
0,2,1000,1e-04,0.0988,0.1723,737.7,-534055.3991,11.44,0.153,11.665
0,2,10000,1e-04,0.0682,0.1686,719.5,-3900080.4232,10.567,0.091,10.661
0,3,1,1,0.0018,0.4252,1928.6,-936.7677,27.091,0.418,28.039
0,3,10,1,0.0023,0.4178,1885.9,-1025.261,26.373,0.353,27.247
0,3,100,1,0.0026,0.4185,1889.8,-1972.7818,27.093,0.366,27.564
0,3,1000,1,0.0022,0.4218,1893.1,-9935.4427,27.274,0.418,27.757
0,3,10000,1,0.0022,0.4142,1881.5,-90928.8045,26.612,0.429,27.502
0,3,1,0.1,0.0091,0.2558,1669.6,-702.8442,25.49,0.371,26.364
0,3,10,0.1,0.002,0.2546,1663.1,-868.0632,26.67,0.395,27.321
0,3,100,0.1,0.0026,0.2534,1662.8,-1847.6767,26.544,0.328,27.223
0,3,1000,0.1,0.0031,0.2544,1671.9,-13197.8028,25.826,0.38,26.438
0,3,10000,0.1,0.0026,0.2512,1652.8,-104787.7029,25.829,0.312,26.285
0,3,1,0.01,0.0482,0.1445,1051.8,-576.198,15.277,0.202,15.645
0,3,10,0.01,0.0216,0.1474,966.5,-2007.366,14.391,0.202,14.63
0,3,100,0.01,0.0071,0.157,924,-7343.9196,14.369,0.205,14.713
0,3,1000,0.01,0.0024,0.1774,860.3,-22058.8137,14.359,0.159,14.53
0,3,10000,0.01,0.0024,0.1733,833.4,-108618.7261,14.017,0.191,14.278
0,3,1,0.001,0.08,0.1076,1030.4,-739.9313,15.294,0.248,15.686
0,3,10,0.001,0.0612,0.1044,675.9,-4115.9888,10.554,0.13,10.707
0,3,100,0.001,0.0424,0.1124,580.6,-26664.3293,9.717,0.106,9.847
0,3,1000,0.001,0.0216,0.1171,538.4,-153904.3219,10.673,0.096,10.814
0,3,10000,0.001,0.0081,0.1398,510.5,-648337.7848,12.838,0.115,13.049
0,3,1,1e-04,0.1284,0.1664,1737.5,-1347.7285,17.774,0.342,18.205
0,3,10,1e-04,0.0816,0.1027,951,-7028.248,12.784,0.196,13.061
0,3,100,1e-04,0.0683,0.1056,595.1,-42794.3822,6.569,0.098,6.668
0,3,1000,1e-04,0.0565,0.1114,474.2,-316492.4166,5.738,0.085,5.828
0,3,10000,1e-04,0.0438,0.123,500,-2614012.1038,7.541,0.085,7.674
0,4,1,1,5e-04,0.426,1930.4,-936.2735,27.274,0.426,27.898
0,4,10,1,7e-04,0.4164,1892.5,-965.6401,27.118,0.36,27.686
0,4,100,1,3e-04,0.4162,1891.6,-1057.789,27.088,0.337,27.453
0,4,1000,1,8e-04,0.4164,1889.5,-4135.6776,27.153,0.422,27.608
0,4,10000,1,8e-04,0.4165,1890.2,-34936.0382,26.964,0.38,27.529
0,4,1,0.1,0.0034,0.237,1656.5,-659.1763,25.327,0.39,25.903
0,4,10,0.1,7e-04,0.2316,1663.6,-728.5194,26.376,0.344,26.819
0,4,100,0.1,5e-04,0.2274,1655.4,-891.6367,26.211,0.332,26.635
0,4,1000,0.1,5e-04,0.2226,1652.3,-2888.0104,25.78,0.579,26.411
0,4,10000,0.1,4e-04,0.2238,1648,-16686.5726,25.661,0.493,26.175
0,4,1,0.01,0.0298,0.114,918.3,-440.8394,13.787,0.276,14.079
0,4,10,0.01,0.0088,0.1062,860,-1131.404,12.859,0.225,13.087
0,4,100,0.01,9e-04,0.1212,840.8,-2642.6844,12.83,0.249,13.106
0,4,1000,0.01,6e-04,0.1269,810.6,-5871.7865,12.638,0.323,12.966
0,4,10000,0.01,8e-04,0.1298,826.1,-35656.7678,12.872,0.278,13.176
0,4,1,0.001,0.0506,0.0669,790.6,-527.9862,12.361,0.301,12.692
0,4,10,0.001,0.0398,0.0712,501.6,-2700.3054,8.251,0.176,8.431
0,4,100,0.001,0.0235,0.074,398.6,-15363.4546,7.095,0.129,7.233
0,4,1000,0.001,0.009,0.0828,411.3,-77195.8573,8.296,0.155,8.474
0,4,10000,0.001,9e-04,0.0958,385.8,-203975.4423,9.102,0.122,9.256
0,4,1,1e-04,0.0751,0.0878,1477.7,-1073.7432,15.497,0.36,15.879
0,4,10,1e-04,0.0512,0.065,701.7,-4892.8529,11.075,0.193,11.273
0,4,100,1e-04,0.0415,0.0686,412.2,-27237.2939,6.041,0.099,6.142
0,4,1000,1e-04,0.0348,0.0802,328.7,-195439.021,5.137,0.078,5.216
0,4,10000,1e-04,0.0228,0.0818,319.4,-1397582.403,5.794,0.058,5.859
0,5,1,1,0.0032,0.4284,1932.8,-942.4066,27.102,0.573,27.74
0,5,10,1,0.0029,0.4174,1886.9,-1048.742,26.939,0.498,27.501
0,5,100,1,0.003,0.4193,1890.2,-2152.2358,27.013,0.497,27.528
0,5,1000,1,0.003,0.4174,1885.8,-13129.5862,26.931,0.588,27.538
0,5,10000,1,0.0032,0.4204,1891.6,-128932.765,27.043,0.574,27.662
0,5,1,0.1,0.0118,0.2629,1703.1,-727.5173,25.502,0.512,26.062
0,5,10,0.1,0.0031,0.2578,1693,-937.7192,26.802,0.51,27.327
0,5,100,0.1,0.0029,0.2596,1694.7,-1978.2092,26.746,0.412,27.17
0,5,1000,0.1,0.0025,0.2584,1701.2,-10817.5648,26.367,0.619,27.185
0,5,10000,0.1,0.0024,0.2616,1696.9,-98821.1244,26.376,0.503,26.956
0,5,1,0.01,0.0546,0.1645,1185,-624.5981,17.27,0.423,17.698
0,5,10,0.01,0.026,0.1657,1130.3,-2254.8953,18.885,0.365,19.281
0,5,100,0.01,0.0088,0.1807,1078.7,-8006.7288,21.62,0.316,22.083
0,5,1000,0.01,0.0033,0.188,1003.2,-25432.9183,19.406,0.399,19.815
0,5,10000,0.01,0.0034,0.1964,993.2,-152128.2921,20.273,0.327,20.647
0,5,1,0.001,0.0959,0.1308,1101.1,-798.2094,16.445,0.437,16.911
0,5,10,0.001,0.074,0.1262,766,-4718.7085,11.775,0.168,12.16
0,5,100,0.001,0.049,0.1298,665.6,-30034.1966,11.014,0.136,11.165
0,5,1000,0.001,0.024,0.1359,653.2,-166169.0459,12.313,0.153,12.689
0,5,10000,0.001,0.0088,0.1642,590.8,-725619.3085,14.119,0.146,14.28
0,5,1,1e-04,0.177,0.2212,1709.5,-1368.9319,17.175,0.311,17.695
0,5,10,1e-04,0.0984,0.1224,999.2,-7528.3188,13.149,0.2,13.364
0,5,100,1e-04,0.0786,0.1206,647.6,-47250.3628,9.067,0.141,9.253
0,5,1000,1e-04,0.0668,0.1295,540,-360342.0806,8.535,0.088,8.632
0,5,10000,1e-04,0.0491,0.1369,561.8,-2857112.9675,8.91,0.07,8.987
0,6,1,1,0.0044,0.4301,1929.6,-944.1924,26.989,0.567,27.787
0,6,10,1,0.005,0.4213,1885.5,-1127.9355,26.194,0.556,26.986
0,6,100,1,0.0043,0.4208,1890,-2670.0195,26.94,0.461,27.459
0,6,1000,1,0.0046,0.4222,1887.8,-19328.2862,27.518,0.56,28.144
0,6,10000,1,0.0045,0.4195,1888.5,-180928.837,26.586,0.528,27.342
0,6,1,0.1,0.0194,0.3028,1721.6,-795.23,25.487,0.513,26.219
0,6,10,0.1,0.0049,0.3084,1714.4,-1166.3876,27.458,0.513,28.039
0,6,100,0.1,0.0043,0.2986,1698,-2671.5764,27.062,0.505,27.636
0,6,1000,0.1,0.0047,0.3026,1703.6,-19955.3571,26.105,0.589,26.926
0,6,10000,0.1,0.0047,0.3066,1705.5,-188979.9013,25.919,0.591,26.749
0,6,1,0.01,0.1006,0.2211,1297.3,-820.6384,18.581,0.407,19.158
0,6,10,0.01,0.0494,0.2309,1252.2,-3776.4761,19.074,0.397,19.484
0,6,100,0.01,0.0197,0.2449,1179.1,-15485.9855,23.78,0.298,24.107
0,6,1000,0.01,0.0069,0.2721,1101.6,-58339.2194,24.684,0.466,25.349
0,6,10000,0.01,0.0044,0.2701,1066.6,-226854.6814,26.555,0.36,26.956
0,6,1,0.001,0.1608,0.2099,1336.6,-1065.7972,19.752,0.573,20.345
0,6,10,0.001,0.1284,0.2022,1035.5,-7268.8661,15,0.302,15.427
0,6,100,0.001,0.0903,0.2053,959.4,-51810.6889,14.887,0.28,15.194
0,6,1000,0.001,0.051,0.2241,944,-329423.2328,17.781,0.33,18.143
0,6,10000,0.001,0.026,0.2548,856.8,-1702405.3931,21.797,0.159,21.984
0,6,1,1e-04,0.2619,0.3094,1837.8,-1558.4722,18.857,0.465,19.401
0,6,10,1e-04,0.1684,0.2056,1262.5,-10317.2163,15.828,0.355,16.274
0,6,100,1e-04,0.1464,0.205,966.3,-78123.4556,13.798,0.248,14.149
0,6,1000,1e-04,0.123,0.2076,872.7,-644056.3988,13.639,0.2,13.862
0,6,10000,1e-04,0.0894,0.213,890.7,-5098499.359,12.384,0.115,12.518
0,7,1,1,4e-04,0.4231,1929.3,-931.6201,27.325,0.577,28.189
0,7,10,1,4e-04,0.4149,1881.9,-948.7298,26.241,0.569,26.924
0,7,100,1,7e-04,0.4154,1886,-1234.3542,27.204,0.648,28.08
0,7,1000,1,6e-04,0.4146,1884.1,-3333.5909,27.042,0.62,27.749
0,7,10000,1,4e-04,0.412,1877.9,-16930.4398,26.524,0.583,27.313
0,7,1,0.1,0.0026,0.219,1590.9,-611.9267,24.817,0.452,25.368
0,7,10,0.1,6e-04,0.2125,1608.1,-669.886,26.08,0.492,26.649
0,7,100,0.1,5e-04,0.2108,1599.6,-857.7991,26.059,0.384,26.543
0,7,1000,0.1,4e-04,0.2162,1605.6,-2444.2854,24.3,0.33,25.06
0,7,10000,0.1,4e-04,0.2124,1595.9,-16638.6715,23.918,0.269,24.209
0,7,1,0.01,0.0188,0.0743,757.6,-356.719,11.619,0.197,12.001
0,7,10,0.01,0.0059,0.074,683.9,-858.7957,10.487,0.133,10.828
0,7,100,0.01,8e-04,0.0795,659.9,-1724.22,10.445,0.149,10.797
0,7,1000,0.01,4e-04,0.0795,633,-3192.2318,9.94,0.173,10.138
0,7,10000,0.01,4e-04,0.0866,628.7,-19972.1336,10.125,0.157,10.304
0,7,1,0.001,0.0356,0.0505,710.1,-461.1041,11.249,0.185,11.6
0,7,10,0.001,0.0232,0.0473,403.7,-2054.6459,7,0.061,7.258
0,7,100,0.001,0.0158,0.0534,304,-11132.1377,5.755,0.122,5.922
0,7,1000,0.001,0.0043,0.0551,287.3,-43560.4564,6.011,0.069,6.213
0,7,10000,0.001,0.001,0.0624,291.5,-121455.3373,6.661,0.078,6.761
0,7,1,1e-04,0.0651,0.0753,1470.4,-1050.4683,14.613,0.296,14.99
0,7,10,1e-04,0.038,0.0512,641.4,-4371.0223,9.566,0.154,9.818
0,7,100,1e-04,0.0269,0.0479,338.5,-21279.6287,5.755,0.089,5.854
0,7,1000,1e-04,0.0218,0.0548,243.8,-131032.6743,4.805,0.038,4.848
0,7,10000,1e-04,0.0135,0.0586,209.7,-834075.6928,5.143,0.021,5.162
0,8,1,1,0.0051,0.4291,1931.4,-945.1217,27.326,0.565,28.209
0,8,10,1,0.0057,0.421,1889,-1154.6303,26.919,0.516,27.721
0,8,100,1,0.0047,0.4196,1885.7,-2806.6858,27.025,0.521,27.775
0,8,1000,1,0.0049,0.4196,1887.3,-20527.3274,27.389,0.569,28.029
0,8,10000,1,0.005,0.4216,1889,-200927.8699,26.242,0.512,26.912
0,8,1,0.1,0.0198,0.2879,1710.3,-778.803,25.663,0.495,26.305
0,8,10,0.1,0.0042,0.2882,1697.5,-1079.0193,27.032,0.514,27.629
0,8,100,0.1,0.0052,0.293,1716.6,-3011.4993,26.757,0.439,27.263
0,8,1000,0.1,0.0044,0.2846,1695.4,-18722.7631,25.973,0.54,26.878
0,8,10000,0.1,0.0047,0.289,1711.4,-190908.6715,26.056,0.552,26.944
0,8,1,0.01,0.0812,0.2075,1316.9,-767.0117,19.066,0.334,19.438
0,8,10,0.01,0.0411,0.2118,1270.3,-3278.0823,22.758,0.452,23.258
0,8,100,0.01,0.019,0.2343,1245.7,-14551.7876,23.6,0.4,24.215
0,8,1000,0.01,0.008,0.2576,1182.3,-59111.5569,25.974,0.326,26.366
0,8,10000,0.01,0.0047,0.2614,1156.2,-237070.5601,27.533,0.398,28.008
0,8,1,0.001,0.1374,0.1863,1288.4,-986.0665,18.909,0.461,19.548
0,8,10,0.001,0.1054,0.186,1002.4,-6407.2214,14.885,0.241,15.164
0,8,100,0.001,0.0738,0.194,939.8,-44303.4938,14.427,0.331,14.87
0,8,1000,0.001,0.0415,0.2071,889,-267512.5241,16.501,0.248,16.792
0,8,10000,0.001,0.0228,0.2404,821.2,-1496913.6658,20.45,0.219,20.767
0,8,1,1e-04,0.2318,0.2706,1784.9,-1495.8063,18.716,0.476,19.284
0,8,10,1e-04,0.1461,0.1826,1189.7,-9487.1996,15.352,0.338,15.79
0,8,100,1e-04,0.1272,0.1872,886.9,-69180.7764,13.268,0.2,13.508
0,8,1000,1e-04,0.1034,0.1958,818.9,-566869.3351,12.982,0.227,13.231
0,8,10000,1e-04,0.0744,0.2028,845.7,-4372971.3382,12.255,0.112,12.376
0,9,1,1,0.0059,0.4307,1935.6,-949.3445,27.067,0.56,27.854
0,9,10,1,0.0057,0.4228,1892.6,-1156.6717,26.902,0.487,27.612
0,9,100,1,0.0053,0.421,1892.2,-3068.991,27.524,0.5,28.063
0,9,1000,1,0.0046,0.4241,1893.9,-19331.6242,27.39,0.619,28.06
0,9,10000,1,0.0062,0.4224,1895.6,-250928.9771,26.848,0.611,27.637
0,9,1,0.1,0.0191,0.2904,1733.3,-785.1305,25.819,0.464,26.512
0,9,10,0.1,0.0063,0.2945,1730.6,-1179.0961,27.127,0.592,27.768
0,9,100,0.1,0.006,0.2913,1726,-3364.8648,26.761,0.489,27.291
0,9,1000,0.1,0.0055,0.2956,1730.5,-23141.8719,26.275,0.575,27.119
0,9,10000,0.1,0.0067,0.2878,1720.2,-268922.4226,26.458,0.483,26.967
0,9,1,0.01,0.0838,0.2104,1325,-782.5019,18.813,0.467,19.329
0,9,10,0.01,0.0406,0.2114,1243.4,-3235.4201,21.327,0.436,21.982
0,9,100,0.01,0.0186,0.2276,1190.8,-14261.477,23.425,0.413,24.03
0,9,1000,0.01,0.0068,0.2422,1119.6,-49521.6554,24.669,0.465,25.372
0,9,10000,0.01,0.0059,0.252,1082.8,-282393.2541,26.426,0.341,26.783
0,9,1,0.001,0.1359,0.1814,1293.1,-987.5517,19.192,0.496,19.778
0,9,10,0.001,0.1078,0.1782,971.3,-6437.592,14.415,0.2,14.807
0,9,100,0.001,0.0747,0.1845,876.6,-44515.5331,13.83,0.223,14.056
0,9,1000,0.001,0.042,0.1906,841.1,-270366.5974,15.691,0.188,15.901
0,9,10000,0.001,0.0216,0.217,770.8,-1408368.6444,19.128,0.177,19.32
0,9,1,1e-04,0.2562,0.3024,1817.5,-1533.7589,18.321,0.424,18.767
0,9,10,1e-04,0.1442,0.1833,1215.4,-9656.3603,15.095,0.313,15.432
0,9,100,1e-04,0.1196,0.1748,860.5,-67013.8918,12.507,0.114,12.628
0,9,1000,1e-04,0.1028,0.1806,774.5,-554054.6921,12.295,0.137,12.434
0,9,10000,1e-04,0.0746,0.1936,791.2,-4283040.0774,11.054,0.141,11.202
1,2,1,1,0,0.3986,1932.7,-915.0555,27.006,0.446,27.931
1,2,10,1,0,0.4026,1855.9,-921.7195,26.348,0.376,27.181
1,2,100,1,0,0.4012,1854,-920.8279,26.848,0.406,27.426
1,2,1000,1,0,0.399,1853.1,-920.1109,26.962,0.47,27.485
1,2,10000,1,0,0.3985,1853.7,-920.4812,26.426,0.479,27.359
1,2,1,0.1,3e-04,0.1766,1702,-624.4801,25.401,0.41,26.254
1,2,10,0.1,0,0.1694,1703.4,-635.8729,26.263,0.394,26.706
1,2,100,0.1,0,0.1655,1698.4,-630.7693,26.44,0.359,27.013
1,2,1000,0.1,0,0.1648,1700.2,-629.354,18.406,0.36,19.015
1,2,10000,0.1,0,0.1697,1709.4,-637.7282,18.381,0.334,18.745
1,2,1,0.01,0.0039,0.0323,507.8,-137.9477,8.086,0.074,8.245
1,2,10,0.01,3e-04,0.0316,489.1,-187.0429,7.719,0.093,7.871
1,2,100,0.01,0,0.0321,492.7,-196.1408,7.789,0.104,8.011
1,2,1000,0.01,0,0.0306,484.8,-187.935,7.764,0.095,7.879
1,2,10000,0.01,0,0.0312,482.2,-187.2804,7.736,0.132,7.885
1,2,1,0.001,0.0088,0.0136,264.2,-136.6512,5.011,0.067,5.13
1,2,10,0.001,0.0051,0.0148,152.4,-469.5564,3.544,0.039,3.7
1,2,100,0.001,9e-04,0.0175,119.7,-1472.2458,2.948,0.034,3.082
1,2,1000,0.001,0,0.0168,109.6,-1686.9715,2.823,0.028,2.892
1,2,10000,0.001,0,0.0193,106.8,-2183.2316,2.886,0.033,2.93
1,2,1,1e-04,0.0126,0.0145,664.4,-412.6825,7.251,0.12,7.454
1,2,10,1e-04,0.0097,0.0129,221.7,-1295.1624,4.071,0.065,4.144
1,2,100,1e-04,0.0057,0.0128,116.5,-4780.9149,2.82,0.031,2.874
1,2,1000,1e-04,0.0018,0.019,83.9,-17783.7387,2.174,0.052,2.227
1,2,10000,1e-04,1e-04,0.0218,72.4,-36616.2753,2.076,0.04,2.133
1,3,1,1,0,0.4004,1934.7,-916.5511,27.048,0.432,27.966
1,3,10,1,0,0.4026,1856.1,-922.0229,26.045,0.412,26.972
1,3,100,1,0,0.4007,1854.2,-920.8336,26.961,0.399,27.403
1,3,1000,1,0,0.4004,1851.3,-919.1056,26.933,0.52,27.518
1,3,10000,1,0,0.4012,1853.8,-920.4885,26.306,0.449,27.223
1,3,1,0.1,0,0.1841,1718.2,-634.6156,25.526,0.394,26.368
1,3,10,0.1,0,0.1703,1723.4,-641.9896,26.715,0.384,27.303
1,3,100,0.1,0,0.171,1718.9,-642.0075,26.822,0.322,27.344
1,3,1000,0.1,0,0.1704,1708.9,-637.3425,18.367,0.392,18.879
1,3,10000,0.1,0,0.169,1722.7,-643.7158,18.02,0.366,18.51
1,3,1,0.01,0.0019,0.0312,512.1,-128.4313,7.893,0.131,8.083
1,3,10,0.01,0,0.0305,501,-160.0992,7.87,0.133,8.017
1,3,100,0.01,0,0.0277,495.1,-153.2548,7.871,0.126,8.013
1,3,1000,0.01,0,0.03,496.9,-155.3672,7.787,0.133,7.94
1,3,10000,0.01,0,0.028,488.6,-147.23,7.87,0.157,8.035
1,3,1,0.001,0.0059,0.0113,250,-120.6296,4.792,0.08,4.904
1,3,10,0.001,0.0023,0.0106,147.7,-371.197,3.304,0.076,3.421
1,3,100,0.001,2e-04,0.0116,107.1,-857.0291,2.752,0.044,2.822
1,3,1000,0.001,0,0.0123,100.8,-821.3176,2.718,0.046,2.773
1,3,10000,0.001,0,0.0144,100.3,-1042.4618,2.734,0.065,2.802
1,3,1,1e-04,0.0112,0.0122,634.3,-387.0674,7.154,0.114,7.32
1,3,10,1e-04,0.0071,0.01,196,-1076.0523,3.831,0.092,3.925
1,3,100,1e-04,0.0027,0.0101,96.3,-3359.9169,2.616,0.044,2.692
1,3,1000,1e-04,5e-04,0.0126,67.9,-10337.046,2.028,0.032,2.068
1,3,10000,1e-04,0,0.0138,65.8,-11769.0189,1.982,0.05,2.047
